time_s,R0_m,speed_m_per_s,R_m,E_env_v_per_m,E_shaft_v_per_m
225.0,300.0,5.0,1164.3131022195018,3.781307928707847e-09,2.5901959311648757e-10
225.5,300.0,5.0,1166.7288673895061,3.7578684183450155e-09,-8.830990783110787e-11
226.0,300.0,5.0,1169.144986731757,3.734618842969863e-09,2.5582139074343565e-10
226.5,300.0,5.0,1171.5614580550182,3.7115573180245194e-09,-8.72215969735762e-11
227.0,300.0,5.0,1173.9782791857779,3.688681980902535e-09,2.5267471569182365e-10
227.5,300.0,5.0,1176.3954479680717,3.6659909906576137e-09,-8.615078828045392e-11
228.0,300.0,5.0,1178.81296226331,3.6434825277166447e-09,2.495785531485902e-10
228.5,300.0,5.0,1181.230819950106,3.6211547935969656e-09,-8.509713764952869e-11
229.0,300.0,5.0,1183.6490189241065,3.599006010627784e-09,2.465319117280032e-10
229.5,300.0,5.0,1186.067557097824,3.577034421675708e-09,-8.406030890937914e-11
230.0,300.0,5.0,1188.4864324004714,3.5552382898742895e-09,2.4353382285638886e-10
230.5,300.0,5.0,1190.905642777798,3.533615898357554e-09,-8.303997361140252e-11
231.0,300.0,5.0,1193.3251861919282,3.5121655499974115e-09,2.405833401748227e-10
231.5,300.0,5.0,1195.7450606212012,3.490885567144924e-09,-8.203581082790572e-11
232.0,300.0,5.0,1198.1652640600128,3.469774291375346e-09,2.3767953895921123e-10
232.5,300.0,5.0,1200.5857945186592,3.4488300832368817e-09,-8.104750695606671e-11
233.0,300.0,5.0,1203.0066500231826,3.4280513220031056e-09,2.3482151555721274e-10
233.5,300.0,5.0,1205.4278286152182,3.407436405428981e-09,-8.007475552758105e-11
234.0,300.0,5.0,1207.8493283518437,3.386983749510417e-09,2.3200838684146356e-10
234.5,300.0,5.0,1210.2711473054292,3.366691788247331e-09,-7.911725702381227e-11
235.0,300.0,5.0,1212.6932835634902,3.346558973410118e-09,2.292392896785931e-10
235.5,300.0,5.0,1215.115735228542,3.3265837743095208e-09,-7.817471869627373e-11
236.0,300.0,5.0,1217.5385004179539,3.3067646775698125e-09,2.2651338041353216e-10
236.5,300.0,5.0,1219.9615772638087,3.2871001869052433e-09,-7.724685439227321e-11
237.0,300.0,5.0,1222.3849639127602,3.2675888228997317e-09,2.2382983436863163e-10
237.5,300.0,5.0,1224.808658525894,3.2482291227896983e-09,-7.633338438555792e-11
238.0,300.0,5.0,1227.23265927859,3.2290196402500395e-09,2.211878453571277e-10
238.5,300.0,5.0,1229.6569643603862,3.209958945183151e-09,-7.543403521180406e-11
239.0,300.0,5.0,1232.081571974843,3.1910456235109995e-09,2.1858662521050348e-10
239.5,300.0,5.0,1234.5064803394107,3.1722782769701478e-09,-7.454853950879848e-11
240.0,300.0,5.0,1236.9316876852981,3.15365552290971e-09,2.1602540331931515e-10
240.5,300.0,5.0,1239.357192257341,3.1351759940922036e-09,-7.367663586116679e-11
241.0,300.0,5.0,1241.7829923138745,3.1168383384972223e-09,2.1350342618705975e-10
241.5,300.0,5.0,1244.2090861266045,3.0986412191279147e-09,-7.2818068649506e-11
242.0,300.0,5.0,1246.6354719804824,3.0805833138202003e-09,2.1101995699668374e-10
242.5,300.0,5.0,1249.0621481735807,3.062663315054697e-09,-7.197258790378538e-11
243.0,300.0,5.0,1251.489113016969,3.0448799297713224e-09,2.085742751893356e-10
243.5,300.0,5.0,1253.916364834593,3.027231879186498e-09,-7.11399491608827e-11
