"distance_m","frequency_hz","time_s","Ex_V_per_m","Ey_V_per_m","Ez_V_per_m","E_norm_instant_V_per_m","E_sensor_V_per_m"
"3","30","0.708","-0.00990228767558137","-0.000197580521487228","-0.0113940318292716","0.0150969632906388","-0.000197580521487228"
"3","30","0.709","-0.00806433344457231","0.00285085800988762","-0.00852503302545908","0.0120763013121964","0.00285085800988762"
"3","30","0.71","-0.00594069618087529","0.00579830347498797","-0.00535403067662735","0.00987814956293893","0.00579830347498797"
"3","30","0.711","-0.00360660679328086","0.00854034114878503","-0.00199335912186409","0.00948253763966636","0.00854034114878503"
"3","30","0.712","-0.00114475156198689","0.0109798329796627","0.00143792817356619","0.0111326019345118","0.0109798329796627"
"3","30","0.713","0.00135765706409792","0.0130303587533211","0.0048182761465794","0.0139588418920999","0.0130303587533211"
"3","30","0.714","0.00381197001183678","0.0146192775719536","0.00802793428498353","0.0171085394169397","0.0146192775719536"
"3","30","0.715","0.00613124202147715","0.0156903011942668","0.0109531988490752","0.0200935374018643","0.0156903011942668"
"3","30","0.716","0.00823331172582119","0.0162054880744892","0.0134904408833018","0.0226361936052159","0.0162054880744892"
"3","30","0.717","0.0100437122576209","0.0161465874605463","0.0155497773236774","0.0245638762688405","0.0161465874605463"
"3","30","0.718","0.011498309275476","0.0155156859360515","0.0170582551501352","0.0257668720458615","0.0155156859360515"
"3","30","0.719","0.0125455729548501","0.0143351335020412","0.0179624357836322","0.0261827529600674","0.0143351335020412"
"3","30","0.72","0.0131484034577957","0.0126467518170463","0.0182302881744541","0.0257907784282401","0.0126467518170463"
"3","30","0.721","0.0132854452132094","0.0105103526439874","0.0178523235181203","0.0246104860214054","0.0105103526439874"
"3","30","0.722","0.0129518434485844","0.00800161898865652","0.0168419314010128","0.0227030132024956","0.00800161898865652"
"3","30","0.723","0.0121594161727474","0.00520942399150474","0.015234905467604","0.0201765171571351","0.00520942399150474"
"3","30","0.724","0.0109362355170035","0.00223268255233359","0.0130881754127554","0.017201350362629","0.00223268255233359"
"3","30","0.725","0.00932563326589011","-0.00082315277934141","0.0104777902188966","0.0140509467360466","-0.00082315277934141"
"3","30","0.726","0.00738466580710722","-0.00384982751343104","0.00749622408290879","0.0112048130938008","-0.00384982751343104"
"3","30","0.727","0.00518209288053659","-0.00674012018855472","0.00424910047159626","0.00950463895139581","-0.00674012018855472"
"3","30","0.728","0.00279594173017877","-0.00939164074576162","0.000851450357719738","0.00983591245221642","-0.00939164074576162"
"3","30","0.729","0.000310742950133602","-0.0117104577474164","-0.0025763628095628","0.0119945415569575","-0.0117104577474164"
"3","30","0.73","-0.00218546405383902","-0.0136144259452069","-0.0059129070398904","0.0150030435782387","-0.0136144259452069"
"3","30","0.731","-0.00460424990415741","-0.0150360963165168","-0.00903998359049369","0.0181384843064656","-0.0150360963165168"
