"distance_m","time_s","Ex_V_per_m","Ey_V_per_m","Ez_V_per_m","E_norm_instant_V_per_m","E_sensor_V_per_m"
"3","0.08036","-0.0211182929319268","0.0104683077242866","-0.0249434358852964","0.0343182569011441","0.0104683077242866"
"3","0.08037","-0.022283798824601","0.01276116233718","-0.0251516152570839","0.0359446616939362","0.01276116233718"
"3","0.08038","-0.0240221949856806","0.0131100277468097","-0.0244230749282819","0.0366800391003697","0.0131100277468097"
"3","0.08039","-0.0253822917153897","0.011385027695271","-0.0232067711903241","0.0362275284476775","0.011385027695271"
"3","0.0804","-0.0255679189447021","0.00869947623955538","-0.0222616586130071","0.0349997258590338","0.00869947623955538"
"3","0.08041","-0.0245195028651162","0.00663703611366661","-0.0221197310535847","0.0336829151204208","0.00663703611366661"
"3","0.08042","-0.0229913917855354","0.00605367797891768","-0.0226626147921495","0.0328457793715688","0.00605367797891768"
"3","0.08043","-0.0220685572875391","0.00620746341040698","-0.0230829233027602","0.0325326785086326","0.00620746341040698"
"3","0.08044","-0.0224049842828464","0.00481820662415348","-0.0222863622727796","0.0319668637676768","0.00481820662415348"
"3","0.08045","-0.0236465674021749","-0.000852369980915544","-0.0195357310947033","0.0306843848544259","-0.000852369980915544"
"3","0.08046","-0.0244181517066639","-0.0124027495331414","-0.0149855394237438","0.0312192363867547","-0.0124027495331414"
"3","0.08047","-0.0229481225222998","-0.0290228636188873","-0.00979383634670114","0.0382735178723485","-0.0290228636188873"
"3","0.08048","-0.0180405186672975","-0.0472941209871077","-0.00571083715482824","0.0509392565192824","-0.0472941209871077"
"3","0.08049","-0.00988524471576147","-0.0622798842876657","-0.00432065691508393","0.0632073581646423","-0.0622798842876657"
"3","0.0805","-0.000248080375155033","-0.0694647047540092","-0.00630473177541175","0.0697506730662443","-0.0694647047540092"
"3","0.08051","0.00811485094711941","-0.0666421982680142","-0.0110981940689064","0.0680455972674087","-0.0666421982680142"
"3","0.08052","0.012574641869848","-0.054845526275971","-0.0171186927549601","0.0588149896904002","-0.054845526275971"
"3","0.08053","0.0117516821109866","-0.0378719628740435","-0.0224597818245651","0.0455722437891495","-0.0378719628740435"
"3","0.08054","0.00609826852360663","-0.0206404707471423","-0.0257082969589598","0.0335281142353654","-0.0206404707471423"
"3","0.08055","-0.00233907697667535","-0.00718365339575404","-0.0264886639100599","0.027544971827055","-0.00718365339575404"
"3","0.08056","-0.0108512950589544","0.00077537327687932","-0.0254849187836083","0.0277097977903502","0.00077537327687932"
"3","0.08057","-0.0172268680256683","0.00404416536429525","-0.0239633790514167","0.0297886520512331","0.00404416536429525"
"3","0.08058","-0.0205782734887895","0.00499511015004296","-0.0230706317600951","0.0313156592617877","0.00499511015004296"
"3","0.08059","-0.0214651069369201","0.0060205939258168","-0.0232810626279222","0.0322336197799477","0.0060205939258168"
"3","0.0806","-0.021318384446658","0.00826273387258445","-0.0242670542507609","0.0333412088634176","0.00826273387258445"
"3","0.08061","-0.0215257691274732","0.0112530810607027","-0.0252229331481369","0.0350169519873362","0.0112530810607027"
"3","0.08062","-0.0226871361080923","0.0135512006469647","-0.0254250560055812","0.0366711692838985","0.0135512006469647"
"3","0.08063","-0.0244213855504856","0.013905325484769","-0.0246904515166479","0.0374082951380944","0.013905325484769"
"3","0.08064","-0.0257773277977284","0.012185579256225","-0.0234680760368278","0.036928438405538","0.012185579256225"
"3","0.08065","-0.0259587928237129","0.00950527595839617","-0.0225168842000811","0.0356541620289915","0.00950527595839617"
"3","0.08066","-0.0249062068629613","0.00744807826539891","-0.022368869927907","0.0342951797196013","0.00744807826539891"
"3","0.08067","-0.0233739182674858","0.00686995677870878","-0.0229056595647374","0.0334395813582061","0.00686995677870878"
"3","0.08068","-0.022446898662064","0.00702897301363571","-0.0233198666490603","0.033122287084399","0.00702897301363571"
"3","0.08069","-0.0227791330017009","0.00564494112646008","-0.0225171969327579","0.0325235056280682","0.00564494112646008"
"3","0.0807","-0.0240165159604852","-2.04165435832787E-05","-0.0197604498729343","0.0311009458842692","-2.04165435832787E-05"
"3","0.08071","-0.024783892643027","-0.0115655831844587","-0.0152041351894993","0.0312916886057351","-0.0115655831844587"
"3","0.08072","-0.0233096484188497","-0.0281804904421227","-0.010006302034041","0.0379157728572873","-0.0281804904421227"
"3","0.08073","-0.0183978221498156","-0.0464465471250715","-0.00591716576267572","0.0503068032214403","-0.0464465471250715"
"3","0.08074","-0.0102383184537431","-0.0614271159426338","-0.00452084150732958","0.0624383835931427","-0.0614271159426338"
"3","0.08075","-0.000596917081906727","-0.0686067481876886","-0.00649876548098751","0.0689164433184741","-0.0686067481876886"
"3","0.08076","0.00777025851440144","-0.0657790598014798","-0.0112860700818768","0.0671910485380331","-0.0657790598014798"
"3","0.08077","0.0122343009099791","-0.053977212289619","-0.0173004043345981","0.0579872533877497","-0.053977212289619"
"3","0.08078","0.0114155997787252","-0.0369984798075346","-0.0226353222954439","0.0448504319019917","-0.0369984798075346"
"3","0.08079","0.00576645192956502","-0.0197618250993432","-0.0258776597110341","0.0330671282580313","-0.0197618250993432"
"3","0.0808","-0.00266662076610958","-0.0062998517246928","-0.0266518423987467","0.0275158082074831","-0.0062998517246928"
"3","0.08081","-0.0111745590217168","0.00166432435411672","-0.0256419065298784","0.0280204945597425","0.00166432435411672"
"3","0.08082","-0.0175458451840905","0.00493825917155658","-0.0241141696418572","0.0302280708015877","0.00493825917155658"
"3","0.08083","-0.0208929569096795","0.00589433995221911","-0.0232152188470082","0.0317837266225428","0.00589433995221911"
"3","0.08084","-0.0217754897316479","0.00692495292887498","-0.023419439929395","0.0327199800233249","0.00692495292887498"
"3","0.08085","-0.021624459771236","0.00917221522363423","-0.0243992155507472","0.0338683999031294","0.00917221522363423"
"3","0.08086","-0.0218275301826368","0.0121676778480564","-0.0253488722965358","0.035595769197955","0.0121676778480564"
"3","0.08087","-0.0229845761393804","0.0144709059001987","-0.0255447669183151","0.0372858280689919","0.0144709059001987"
"3","0.08088","-0.0247144978483209","0.0148301321747855","-0.0248039281757404","0.038025965828149","0.0148301321747855"
